fips,state,county,years_lost_rate,sroh_fairpoor,phys_days,ment_days,lbw_pct,smoker_pct,obese_pct,food_env,inactive_pct,exer_access,exc_drink,alc_drive,sti_rate,teen_births,uninsured,pcp_ratio,prev_hosp,hsgrads,unemployed,poor_kids,income_ratio,associations,pm2.5,h2oviol,sev_housing,drive_alone,age_adj_mortality,dm_prev,freq_phys_distress,freq_mental_distress,food_insecure,insuff_sleep,median_income,population,age65plus,african_am,hispanic,white,female,rural
39085,Ohio,Lake,7248,16.8,3.96,4.95,7.2,20.5,34.4,8,26.2,85.8,19.5,58.2,306.3,12.2,7.4,2256,4185,92.6,8.4,10.5,3.8,8.6,7,No,10.3,84.4,357.4,9.6,12.1,16.1,10.8,38.4,69853,229569,21.1,4.7,4.8,87.1,51.2,6.5
39087,Ohio,Lawrence,11853,23.5,4.91,5.75,9.5,27.2,39.8,7,35.3,39.1,17.1,12.5,294.3,33.9,7.8,2379,6545,87.7,8.5,28.6,4.6,8.7,6.4,No,12.9,87.8,603.5,12.2,16,20.1,17.6,43.8,47299,59091,19.6,2.1,1,94.6,51.3,45.9
39089,Ohio,Licking,7547,18.3,4.2,5.17,7.7,21.8,34.8,7.6,29.5,68.3,18.9,31,400.9,18.2,7.2,2358,4427,92.5,6.5,12.4,4.3,10,9.6,No,11.3,81.9,379.9,10.5,13.2,16.7,12.4,39.7,68982,178100,17.2,4.1,2.2,88.3,50.8,35.5
39091,Ohio,Logan,8595,19.4,4.44,5.4,7,24.1,37.7,8.2,31.4,56.9,19.6,31,300,29.9,7.3,2175,4138,92.5,8.3,14,3.9,12.5,9.3,No,12,84.2,421.2,10.1,13.8,17.6,12.2,42.1,61797,45326,19.2,1.8,2,92.8,50.4,56.9
39093,Ohio,Lorain,8020,19.9,4.28,5.07,8.4,21.6,39,7.8,30.9,85,18.7,41.1,524.5,20.8,7.6,1855,5085,90,9.9,16.1,4.6,9.6,8.2,No,12.9,83,385.3,11.3,13.4,16.5,12.4,39.3,59954,312172,19.4,7.7,10.5,77.5,50.7,11.7
39095,Ohio,Lucas,10804,21.7,4.58,5.28,9.8,23.5,37.3,7.2,31.6,91.9,18.5,37.6,804.3,27.9,8.1,1079,5108,89.7,10.4,26.6,5.2,9.6,8.9,No,14.9,83.5,502.4,12.3,14.9,17.9,15.1,41.7,51642,428294,17.2,19.7,7.7,67.7,51.7,4.7
39097,Ohio,Madison,7277,19.6,4.32,5.19,7.3,23.1,38.8,7.8,30.3,45.7,20.6,22.2,223.6,20.4,7.9,2982,3220,87.4,5.9,12.1,3.3,9.2,9.5,No,10.4,84.5,373.6,10.7,13.8,16.9,11.6,40.7,72834,44559,16.3,6,2.6,88,46,48.5
39099,Ohio,Mahoning,10143,21.9,4.55,5.26,10.6,23.5,39.6,6.4,32.7,69.2,18.8,33.3,514.7,24.1,7.8,926,4572,91.1,10.2,22.5,4.8,12.7,8.2,Yes,12.6,83.2,469.9,12.1,15,17.6,14.9,43.5,48937,226075,22.1,15,6.8,75.1,50.9,15.2
39101,Ohio,Marion,10137,22.7,4.83,5.56,8.5,27.8,38.3,6.6,33.9,67.4,18.1,30,430.2,39.1,7.6,3829,6177,89.9,7.6,19.4,4.3,12.6,9.2,No,12.6,82.9,498.7,11.7,15.4,18.6,15.1,42.1,52226,64820,18.6,6.1,3,88,47.3,30.3
39103,Ohio,Medina,5594,15.1,3.69,4.78,6.5,18.3,33.4,8.7,24.9,86.9,20.5,36.4,215.3,8,5.8,1577,3408,94.7,7.6,6.3,3.8,8.7,8,No,9.9,85.6,282.1,8.9,11.3,15.3,9.3,37.5,79504,180912,19.1,1.5,2.5,93.2,50.6,29.8
39105,Ohio,Meigs,12082,23.3,5.11,5.91,9.2,28.2,37.8,5.7,33.8,35.4,18.7,21.4,161.5,27.1,8.8,11454,5820,84,9.6,23.3,5.6,15.7,8.5,No,12.6,85.4,550.9,11.9,16.5,20.1,18.5,41.4,44622,22678,21.2,0.8,0.8,96.6,50.5,81.3
39107,Ohio,Mercer,6512,17.7,4.2,5.21,5.2,21.7,35.3,8.8,28.5,58.6,22.4,23.3,240.5,16.9,7.2,2167,5001,92.2,5.4,7.6,3.4,11.9,9.6,No,9.1,88.8,346.8,9.6,12.8,16.9,9.3,38.8,69588,41274,18.9,0.4,1.9,94.8,49.6,61.4
39109,Ohio,Miami,7497,18.2,4.21,5.21,6.2,22.6,38.3,8.2,27.2,80.8,18.8,26.6,325.3,24,7.5,2019,4178,91.9,7,10.9,3.9,12,9.8,No,9.6,84.4,383.7,10.1,13.1,17.1,11.7,39.5,63699,107516,19.4,2.5,2,91.5,50.7,30.8
39111,Ohio,Monroe,7942,21.8,4.89,5.74,7.3,27.5,36.9,7,32.6,65.8,17.9,33.3,197.7,23.1,9,6827,4663,90.2,10.6,21,4.3,16.1,8,No,12.7,85.9,391,10.8,15.6,19,18.1,41.2,48944,13586,24.4,0.6,0.8,96.8,49.6,97.7
39113,Ohio,Montgomery,11059,20.8,4.44,5.24,9.3,21.8,36.5,7,30.2,90.5,17.8,34.1,639.1,24.9,8.8,1024,4185,90.5,8.6,20.5,4.8,10.6,8.9,Yes,14.4,81.1,516.9,11.9,13.9,17.5,14.3,41.5,54692,531610,18.6,21.4,3.4,69.8,51.9,4.3
39115,Ohio,Morgan,9463,24.5,5.29,6.01,5.9,28.8,41,6.6,34.6,10.9,18,26.3,351.5,27.7,9.3,14508,4918,85.9,9.3,20.3,4.1,11,8.3,No,10.7,83.7,466.1,12,17.1,20.4,17.6,43.1,45698,14305,22.6,2.9,1,91.9,50.3,81.5
39117,Ohio,Morrow,8387,20.2,4.52,5.48,7,24.8,40.3,8.6,32.2,22.1,18.6,34.3,280.2,21,8.6,5888,3988,88.3,7.1,13.2,3.2,6.8,9.1,No,10.6,79,385.7,10.4,14.2,18.2,11.6,39.4,68159,35411,18.5,0.7,1.6,95.6,49.8,88.8
39119,Ohio,Muskingum,10157,21,4.8,5.67,8,26.1,39.4,6.9,30.8,70.3,17.1,24.5,470.9,32.5,7.9,1597,5152,88.7,7.8,20.9,4.6,13,8.8,Yes,13.9,85.1,476.3,10.8,15.2,18.8,15,41.2,52457,86020,18.6,3.7,1.3,91.2,51.4,47
39121,Ohio,Noble,7545,22.4,4.81,5.65,6.3,26.7,39,6.3,33.4,26.1,20.1,38.5,298.1,28,8,7212,3961,83.4,9.6,16,4.1,12.5,8.2,No,10.8,84.4,311.3,11.3,15.2,19,15.8,41.7,52583,14364,28.9,2.7,0.8,94.8,41.4,62.5
39123,Ohio,Ottawa,8082,18.1,4.18,5.1,8.1,21.6,34.7,7.5,30.1,51,20.2,29,180.1,15.7,7.1,2384,3178,92,9.1,10.4,4,13.6,9.3,Yes,9.2,87,373.9,9.7,13,16.4,12.6,39.5,65582,40253,26.6,1,5.3,91.9,50.3,49.4
39125,Ohio,Paulding,6733,19.4,4.36,5.29,7.7,23.2,35.7,7.8,30.4,29.5,18.5,76.9,289.2,27.1,7.9,4668,4896,89.9,7.5,13.9,3.7,13.9,9,No,10.7,88.3,389.4,10.5,13.6,17.2,12.3,40,62062,18648,19.7,0.9,5,92.1,50.3,81.9
39127,Ohio,Perry,8965,22.2,4.9,5.76,7.3,27.5,33.8,7.4,33.3,72.2,19.8,30.8,362.5,29.9,7.8,4015,5000,87.5,8.4,17.2,4.6,8.6,8.7,No,13.2,86.2,452.4,11.1,15.6,19.4,16.7,43.4,56048,36215,17.6,0.5,0.9,96.5,50,75.2
39129,Ohio,Pickaway,9519,19.9,4.42,5.32,7.3,24,39.5,8,29.3,76.2,19.6,39.7,318.2,22.4,7.2,2248,3963,87,6.8,18.3,4.1,8.2,9.2,No,10.8,82.8,478.5,10.3,13.9,17.4,12.9,41.3,64412,58658,16.4,3.6,1.6,92.3,47.7,49.9
39131,Ohio,Pike,13599,25.5,5.25,6,8.9,27.3,38.7,7,36.2,28,16.8,16.7,316.9,47.4,8.6,3472,1564,83.9,9.4,24.5,4.7,7.6,8.5,No,15.2,83.6,652.9,12.7,17.1,20.4,19.1,42.1,46413,27695,18.7,1.1,1.3,94.8,50.5,74.2
39133,Ohio,Portage,7395,17.8,4.19,5.15,7.9,21.7,37.2,7.4,28,74.5,20.6,34.4,432.1,7.9,7.6,2708,3880,92.5,7.3,12.3,4.6,8.4,7.3,No,13.3,81.8,366.3,10.1,12.9,16.9,12.7,40,64250,162583,17.7,4.8,2.1,88.9,51.1,32.8
39135,Ohio,Preble,9066,18.5,4.35,5.38,8.5,23.4,38,8.2,30.2,35.6,20,18.2,251.9,22.7,7.9,6814,3644,90.5,6.7,13,3.7,7.3,9.3,No,9.6,86.9,440.1,10,13.4,17.5,12.2,38.8,60856,40836,20.2,0.7,1.1,95.8,50.4,69.2
39137,Ohio,Putnam,4940,16.5,4.02,5.01,6.4,19.4,36.7,8.6,28.2,35.3,22.6,28.6,194.9,14.4,7,1782,3243,93.9,5.6,6.3,3.4,13.9,9.1,Yes,7.3,86.4,274.8,9.4,12,15.8,9.1,39.3,72299,33654,18.5,0.4,6.7,91.9,50,84.7
39139,Ohio,Richland,9809,20.9,4.64,5.45,7.8,25.3,39.8,6.8,33.1,65,17.9,21.3,534.9,33.3,8.7,2019,4478,87.9,9,18,4.2,14.7,8.9,Yes,11.3,85.2,472.7,11.3,14.7,18,14,40,52295,120891,20.4,9.2,2.1,85.3,49.3,32.1
39141,Ohio,Ross,10442,22.8,4.81,5.59,8.9,27,42.3,7.1,33.1,63.3,18.9,18.3,353.5,33.8,7.5,1704,985,88.9,8,19.3,4.5,10.2,8.8,No,13.1,83.5,517.7,11.7,15.8,19.2,16.1,44.3,49543,76420,17.7,5.5,1.4,89.6,47.9,58.7
39143,Ohio,Sandusky,8709,20.1,4.42,5.23,7.3,21.7,38.3,8.1,28.9,64.8,19.8,27.1,389.6,26.9,7.3,2018,4201,91.5,8.1,13.8,3.8,12.8,9.1,No,10.7,86.6,419.2,11.1,13.9,17.1,12.5,38.5,60455,58351,19.8,3,10.5,83.5,50.4,44.1
39145,Ohio,Scioto,15419,25.3,5.21,5.91,8.1,29.3,39.2,6.7,35.3,68.2,16.9,17.9,341.2,35.4,8.3,1712,5450,85.7,8.7,26.6,5.7,10.4,7.1,No,14.8,88.2,706.3,12.3,17.3,20.8,19.7,45.1,44297,74347,19,2.6,1.5,93,50.7,54.3
39147,Ohio,Seneca,8258,20.5,4.51,5.36,8.8,23.3,38.7,7.5,30,68.5,19.4,33.3,442.2,22.4,7.2,2904,4096,92.1,8.1,13.3,3.6,14.5,9.1,Yes,10.7,82,397.4,10.9,14.2,17.4,13,40,58129,54938,19.1,2.3,5.5,89,50,47.5
39149,Ohio,Shelby,8650,18.8,4.32,5.31,6.2,22.7,34,8.2,28.1,63.1,20.1,34,372.5,25,6.7,2314,3540,89.6,7.7,12,3.7,10.3,9.6,No,9.1,83.5,424.3,9.9,13.4,17.4,11.4,40,67582,48337,17.6,2.2,1.6,92.4,49.9,51.1
39151,Ohio,Stark,8500,19.6,4.38,5.32,8.5,22.9,36.1,7.4,28,67.8,19.3,33.9,481.4,23.1,7.7,1256,3710,92.1,8.1,18.2,4.4,12.3,10,Yes,11.4,83.8,418.6,10.3,13.7,17.2,13.4,40.1,57364,369772,20.4,7.9,2.3,85.9,51.4,13.5
39153,Ohio,Summit,8515,18.8,4.15,5.04,9.2,21.3,34.4,7.6,27.7,89.4,17.9,39.5,639.9,19.1,8,1027,4008,92.1,8.2,15.6,4.7,11.1,9.1,No,13.3,83,408.7,10.2,13.2,16.2,12.7,38.6,60715,538866,19,14.9,2.4,75.8,51.6,3.9
39155,Ohio,Trumbull,10497,21.7,4.74,5.57,8.7,26.8,37.1,6.7,32.3,62.7,17.2,33.3,510.7,26.3,8.9,2084,4677,89.4,10.4,29.4,4.5,11.8,7.6,No,12.7,85.8,487.8,11.3,14.9,18.3,15.6,45.4,48929,196800,22.5,8.4,2,86.7,51.3,27.3
39157,Ohio,Tuscarawas,7919,20.7,4.62,5.5,7.1,23.7,38.2,7.9,30,63.6,18,37.1,288.1,30.1,10.3,2628,3916,87.1,7.6,13.6,4.1,17.3,9,No,11.9,83.5,410.9,10.5,14.8,17.9,13.4,40.3,58256,91776,20.3,0.8,3.4,93.7,50.5,41.6
39159,Ohio,Union,5435,15.9,3.74,4.81,6.9,19.1,35.2,8.3,26.2,69,19.6,26.7,367.9,11.4,5.8,1903,2752,94.3,5.8,4.7,3.5,11.2,9.5,No,10.3,81.4,285.5,8.9,11.4,15.3,8.9,37.6,92198,60021,13.2,2.6,2.2,88,51.7,50
39161,Ohio,Van Wert,7536,19.4,4.45,5.37,8.1,23.3,39.2,7.8,29.9,58.1,19.2,19.2,194.5,22.4,7.2,2356,3256,92.2,7,9.9,3.5,16.3,9.3,Yes,10.1,86.7,373.2,10.7,13.9,17.5,12.1,39.5,57863,28159,19.9,1.1,4,93.1,50.7,50.7
39163,Ohio,Vinton,13139,24.7,5.24,5.98,8.4,28.6,39.3,7.2,39.1,30.5,18.3,26.7,214,28.3,10.2,6543,2805,78.9,9.1,24.6,4.4,3.8,8.2,No,14.9,83.5,597.1,12.5,17.3,20.8,17.5,42.6,49778,12972,18.8,0.6,1,96.2,50,100
39165,Ohio,Warren,5717,14.7,3.47,4.51,6.9,17,31.4,8.6,22.6,83.1,19.9,24.7,209.7,8.9,5.3,1066,3791,94.1,6.4,5.6,3.8,8.5,10.4,No,9.2,82.4,290.7,8.7,10.7,14.2,8.5,36.4,90600,238412,15.3,3.5,3.1,84.7,49.7,17.3
39167,Ohio,Washington,8598,20.1,4.53,5.46,7,23.5,38.6,7.4,31.3,55,19.5,32.4,267.1,21.8,7.7,1302,5573,90.6,8.6,19.8,4.4,12.9,8.7,No,11,82.3,418.9,10.8,14.4,18,15.5,41.5,53450,59652,22.1,1.3,1.2,94.8,50.8,56.6
39169,Ohio,Wayne,7668,20,4.42,5.36,6.1,22.9,38.4,8,29.9,58.3,20.1,28.8,253.2,12.9,12,1995,3266,86.8,5.9,11.6,3.8,13.8,9.3,Yes,13.1,78.7,377.9,10.2,13.7,17.7,12,38.6,67708,115694,18.7,1.5,2.1,93.6,50.3,51
39171,Ohio,Williams,8117,19.7,4.38,5.29,5.6,23.9,37.5,7.5,30.3,51.1,20.5,25.8,272.5,25.3,7.8,2158,3472,91.4,7.8,15.2,3.4,18,8.9,Yes,9.6,87.3,392.7,10.7,13.8,17.3,11.9,39.9,52458,36565,20,1.2,5,91.9,50.3,63.6
39173,Ohio,Wood,5989,17.1,4.08,4.99,6.9,19.5,39.2,7.8,27.6,61.2,19,27.6,341.7,9.1,6.2,1422,3901,94.9,7.1,8.9,4.6,11.6,9.5,Yes,13.2,83.4,333,10.5,12.7,16.1,11.5,37.2,67865,131113,16.1,2.6,6,87.5,50.6,29.5
39175,Ohio,Wyandot,8514,19.6,4.41,5.34,7.4,24.3,40.7,8.6,30.3,41.8,18.7,17.6,303.1,19.1,6.9,4354,3798,92.7,7,9.2,3.9,19.3,9.1,No,8.5,85.4,389.4,10.6,13.8,17.4,10.8,39.2,63516,21711,20.4,0.4,3.3,94.5,50.5,57.4
